annee,mois,regroupement2,poids_enquete_kg,poids_mg_kg,valeur_tot_mg_fr,valeur_moy,indice_isee,indice_mg,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t
2016,5,TOTAL FRUITS (HORS VANILLE),286561.0,86082.0,21551337.0,250.35822820101762,95.43041458364081,,,,,
2016,2,TOTAL FRUITS (HORS VANILLE),338224.0,167097.0,43797109.0,262.10589657504323,92.81639864896104,,,,,
2017,12,TOTAL FRUITS (HORS VANILLE),623192.0,266256.0,81594269.0,306.45044243134424,97.93896589847759,,,,,
2017,6,TOTAL FRUITS (HORS VANILLE),161425.5,139401.0,38367623.0,275.2320499852942,103.86005098394821,,,,,
2017,7,TOTAL FRUITS (HORS VANILLE),143805.6,104855.0,28768803.0,274.3674884364122,106.41380142157485,,,,,
2017,2,TOTAL FRUITS (HORS VANILLE),266581.7,133336.0,34437449.0,258.27570198596027,101.75075858708844,,,,,
2017,10,TOTAL FRUITS (HORS VANILLE),285710.0,94852.0,24932865.0,262.8607198583056,109.54007408120627,,,,,
2018,8,TOTAL FRUITS (HORS VANILLE),242447.9,15934.0,4543955.0,285.17352830425506,121.63837261462332,,,,,
2018,9,TOTAL FRUITS (HORS VANILLE),264990.5,43215.3,12516737.0,289.63670274185296,109.4044767128367,,,,,
2018,7,TOTAL FRUITS (HORS VANILLE),265135.0,61269.6,17733765.0,289.43823690704687,131.6951774353654,,,,,
2018,1,TOTAL FRUITS (HORS VANILLE),290143.5,127367.0,33871111.0,265.9331773536316,105.148225983459,,,,,
2018,4,TOTAL FRUITS (HORS VANILLE),214321.0,132564.5,37190813.0,280.5488120877007,109.45720902275822,,,,,
2018,6,TOTAL FRUITS (HORS VANILLE),269500.3,124409.7,37793883.0,303.78566140743044,112.05615858317469,,,,,
2019,4,TOTAL FRUITS (HORS VANILLE),276599.0,118525.7,40291903.0,339.9423331817488,103.51352437589267,,,,,
2019,10,TOTAL FRUITS (HORS VANILLE),361186.0,48996.0,16101590.0,328.63070454730996,111.63430010380274,,,,,
2019,12,TOTAL FRUITS (HORS VANILLE),766975.0,97728.1,29047870.5,297.2315076216564,100.16125610231198,,,,,
2020,6,TOTAL FRUITS (HORS VANILLE),311735.0,60594.7,19590602.0,323.30553662283995,90.19037285410145,110.82975523752225,,,,
2020,5,TOTAL FRUITS (HORS VANILLE),362922.0,74486.9,23156899.3,310.88552886480716,90.09564937569294,103.50673019207055,,,,
2020,9,TOTAL FRUITS (HORS VANILLE),428267.0,57778.100000000006,19705666.0,341.0577017935861,96.21506991380636,115.16870618601851,,,,
2021,3,TOTAL FRUITS (HORS VANILLE),263353.0,119639.3,35135486.0,293.67846518660673,90.33158960393479,93.32072813914746,2021-03-16,2021-04-15,204.11999999999998,0.0
2022,10,TOTAL FRUITS (HORS VANILLE),118486.0,59220.600000000006,22625209.0,382.04964150987996,105.48441955420058,121.68012105600457,2022-10-16,2022-11-15,507.65,160.388
2022,1,TOTAL FRUITS (HORS VANILLE),206517.0,81878.75,31675131.0,386.8541104987558,99.24902970633079,124.64316575131119,2022-01-16,2022-02-15,364.40000000000003,128.85099999999997
2022,2,TOTAL FRUITS (HORS VANILLE),190934.0,60449.350000000006,23307196.0,385.5657008718869,104.56259459797405,123.48701762048361,2022-02-16,2022-03-15,441.9,173.525
2022,11,TOTAL FRUITS (HORS VANILLE),332435.0,84343.6,31212522.0,370.063905263707,104.90316913938057,114.89623582180899,2022-11-16,2022-12-15,505.4000000000001,163.34099999999998
2023,3,TOTAL FRUITS (HORS VANILLE),247988.0,104622.5,36761578.0,351.3735381968506,101.21804563652701,112.68787692943232,2023-03-16,2023-04-15,271.02,73.796
2023,6,TOTAL FRUITS (HORS VANILLE),195517.0,64261.45,20644849.0,321.26335462396196,99.21649085028542,105.22375808949805,2023-06-16,2023-07-15,211.60999999999999,107.886
2023,1,TOTAL FRUITS (HORS VANILLE),230952.0,106547.60000000002,37590820.0,352.8077591611636,100.60401560765385,114.167808123987,2023-01-16,2023-02-15,528.9200000000001,154.48000000000002
2023,7,TOTAL FRUITS (HORS VANILLE),,50883.8,17155566.0,337.15182435274096,,,,,,
