annee,mois,regroupement2,poids_enquete_kg,poids_mg_kg,valeur_tot_mg_fr,valeur_moy,indice_isee,indice_mg,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t
2022,4,TOTAL LEGUMES,353177.1,96591.05,52174405.0,540.1577578875061,133.74250922475994,147.0,2022-04-16,2022-05-15,993.29,366.87699999999995
2022,3,TOTAL LEGUMES,339157.0,106290.05,59675407.0,561.4392598366451,130.63545428816784,138.80330006798062,2022-03-16,2022-04-15,1117.7999999999997,350.992
2022,7,TOTAL LEGUMES,564254.5,147399.38,68039515.0,461.5997367153105,122.86855988310438,116.21493317318405,2022-07-16,2022-08-15,469.47,199.28900000000004
2023,6,TOTAL LEGUMES,403144.0,132011.41,63893732.0,484.00158743854035,138.14484504165807,134.17161962923703,2023-06-16,2023-07-15,626.8899999999998,359.308
2023,2,TOTAL LEGUMES,310164.0,86046.69999999998,43897246.0,510.15606641509794,138.7351480956996,113.4491818072672,2023-02-16,2023-03-15,959.35,536.538
2023,5,TOTAL LEGUMES,394799.0,118086.15,59405577.0,503.0698096262771,143.34122826872488,128.00911118681103,2023-05-16,2023-06-15,787.9929999999998,588.9710000000001
2012,11,TOTAL FRUITS (HORS VANILLE),497317.0,241206.34008270002,62864728.0,260.6263499477095,98.7450169215633,,,,,
2012,10,TOTAL FRUITS (HORS VANILLE),514584.5,229928.15076,52714511.0,229.2651457673125,94.04430815141869,,,,,
2012,6,TOTAL FRUITS (HORS VANILLE),431650.0,242123.56771418,54702593.5,225.92841339829775,88.45468329974032,,,,,
2013,9,TOTAL FRUITS (HORS VANILLE),347726.0,130192.49351890002,32414261.87498,248.97181856551833,100.22905478649677,,,,,
2013,12,TOTAL FRUITS (HORS VANILLE),531070.0,263022.0,66090210.0,251.27255514747816,102.70747335280699,,,,,
2013,5,TOTAL FRUITS (HORS VANILLE),374722.0,189556.17687710002,50685576.0,267.39079060906744,91.26456209984279,,,,,
2013,8,TOTAL FRUITS (HORS VANILLE),306386.0,164862.77823890376,41528446.6563,251.8970449237538,105.64541633414736,,,,,
2013,10,TOTAL FRUITS (HORS VANILLE),381737.0,181515.0,49170119.0,270.8873591714183,90.92556867891889,,,,,
2013,2,TOTAL FRUITS (HORS VANILLE),304722.0,188042.079681,41748290.1035,222.01567954536029,91.98021487734877,,,,,
2013,3,TOTAL FRUITS (HORS VANILLE),341853.0,159567.02546361188,39441793.8516,247.1801033891831,88.60534704237317,,,,,
2014,11,TOTAL FRUITS (HORS VANILLE),449033.5,147137.0,46979072.0,319.28795612252526,100.02565873394244,,,,,
2014,5,TOTAL FRUITS (HORS VANILLE),375894.0,174232.0,45868522.0,263.2611804949722,94.0819740870769,,,,,
2014,1,TOTAL FRUITS (HORS VANILLE),426167.0,206305.0,52791967.0,255.8928140374688,91.60355552076668,,,,,
2014,4,TOTAL FRUITS (HORS VANILLE),284930.0,155371.0,38525409.0,247.95752746651564,90.04418578451678,,,,,
2015,12,TOTAL FRUITS (HORS VANILLE),718188.0,216192.0,64036703.0,296.2029261027235,104.19151121774046,,,,,
2015,7,TOTAL FRUITS (HORS VANILLE),327978.0,152297.0,40041542.0,262.91747046888645,109.25381297020388,,,,,
2015,9,TOTAL FRUITS (HORS VANILLE),300883.0,153748.0,42487548.0,276.3453703462809,113.45733138966013,,,,,
2015,4,TOTAL FRUITS (HORS VANILLE),260967.0,168732.0,42257132.0,250.43934760448522,97.12538168826026,,,,,
2015,1,TOTAL FRUITS (HORS VANILLE),421740.0,214483.0,52121512.0,243.00999146785526,94.95582379434737,,,,,
2016,3,TOTAL FRUITS (HORS VANILLE),322778.0,169087.0,43541273.0,257.50810529490735,94.33056926242108,,,,,
2016,10,TOTAL FRUITS (HORS VANILLE),302466.0,118877.0,36549708.0,307.4581962869184,108.01837028061458,,,,,
2016,1,TOTAL FRUITS (HORS VANILLE),418072.0,290704.0,76785113.0,264.13504114150476,96.4699944078074,,,,,
2017,1,TOTAL FRUITS (HORS VANILLE),255646.0,218479.0,55817044.0,255.48013310203726,98.1046960153737,,,,,
2017,4,TOTAL FRUITS (HORS VANILLE),255950.0,135895.0,38189258.0,281.0203318738732,96.22893241959487,,,,,
2017,5,TOTAL FRUITS (HORS VANILLE),195637.0,172893.0,48095458.0,278.1804815695257,100.2893202835499,,,,,
2017,9,TOTAL FRUITS (HORS VANILLE),256838.0,142708.0,41735207.0,292.4517686464669,106.93359133365813,,,,,
2018,3,TOTAL FRUITS (HORS VANILLE),210222.0,113112.2,35312504.0,312.1900555377758,108.1087685261943,,,,,
2018,11,TOTAL FRUITS (HORS VANILLE),552945.0,100777.0,26318057.0,261.1514234398722,112.46295068828337,,,,,
2018,12,TOTAL FRUITS (HORS VANILLE),749924.0,92047.0,27042033.0,293.7850554607972,96.64325771183518,,,,,
2018,2,TOTAL FRUITS (HORS VANILLE),204916.0,107003.7,28274930.0,264.24254488396195,108.17656721037908,,,,,
2019,6,TOTAL FRUITS (HORS VANILLE),365188.0,87313.6,29195118.0,334.37079676018396,120.53852729340359,,,,,
2019,9,TOTAL FRUITS (HORS VANILLE),278066.0,49577.4,16216037.0,327.08526465687993,108.1087685261943,,,,,
2019,3,TOTAL FRUITS (HORS VANILLE),238860.0,71842.0,21491648.0,299.1515826396815,100.43998402618276,,,,,
2019,1,TOTAL FRUITS (HORS VANILLE),376099.0,148596.0,35597263.0,239.55734340089907,102.0144201366959,,,,,
2019,8,TOTAL FRUITS (HORS VANILLE),317328.0,49892.2,16289464.0,326.49319933777224,126.1206189579503,,,,,
2019,7,TOTAL FRUITS (HORS VANILLE),417860.5,77352.0,24449736.0,316.08408315234254,136.97594161464642,,,,,
2020,11,TOTAL FRUITS (HORS VANILLE),640450.0,145523.15,43209592.0,296.9258980444005,95.5401078485771,97.56977509480238,,,,
2020,4,TOTAL FRUITS (HORS VANILLE),399656.0,116584.3,36444063.9,312.59838503126065,89.09032559601133,100.23158019652865,,,,
2020,3,TOTAL FRUITS (HORS VANILLE),433814.0,120403.5,38623247.0,320.78176298861746,88.48468161841174,101.90330953954117,,,,
2021,9,TOTAL FRUITS (HORS VANILLE),288411.0,54657.7,18701004.0,342.1476571462027,106.98196207810402,111.39906320614128,2021-09-16,2021-10-15,338.80100000000004,0.0
2021,4,TOTAL FRUITS (HORS VANILLE),270606.0,112268.16999999998,36114780.0,321.6831627343708,93.33702240826386,104.47124357348554,2021-04-16,2021-05-15,240.4,0.0
2021,1,TOTAL FRUITS (HORS VANILLE),391686.0,140075.0,35334775.0,252.25611279671605,90.96249134068904,91.5058338530868,2021-01-16,2021-02-15,267.15,127.278
2021,8,TOTAL FRUITS (HORS VANILLE),214520.0,86082.09999999999,28113058.0,326.58424922254454,104.75076112106287,107.72467137858337,2021-08-16,2021-09-15,247.95,0.0
2022,4,TOTAL FRUITS (HORS VANILLE),242598.0,82247.3,29246298.0,355.58976404088645,105.84870275202249,115.95716814325678,2022-04-16,2022-05-15,234.0,43.419000000000004
2022,7,TOTAL FRUITS (HORS VANILLE),214410.0,53125.8,20014853.0,376.744500788694,104.42153669423186,125.89790069322542,2022-07-16,2022-08-15,238.501,90.404
2022,8,TOTAL FRUITS (HORS VANILLE),200046.0,49616.810000000005,19155913.0,386.077077506595,104.55775284701218,127.59292216291784,2022-08-16,2022-09-15,388.15999999999997,171.465
2022,12,TOTAL FRUITS (HORS VANILLE),290039.5,123519.15000000001,42349154.0,342.8549662137409,102.70841308375411,111.22308189107429,2022-12-16,2023-01-15,378.014,101.16299999999998
2022,3,TOTAL FRUITS (HORS VANILLE),169908.0,99471.68,35889911.0,360.8053166489196,105.94682099756676,116.43740754031985,2022-03-16,2022-04-15,342.402,91.487
2023,2,TOTAL FRUITS (HORS VANILLE),201867.0,87850.30000000002,31455900.0,358.06252226799444,104.77276184350328,118.3640046867738,2023-02-16,2023-03-15,360.00999999999993,121.755
2023,5,TOTAL FRUITS (HORS VANILLE),183015.0,89490.6,30067462.0,335.98458385573457,102.2212729588835,110.11762151583666,2023-05-16,2023-06-15,232.92499999999998,144.757
2012,10,TOTAL LEGUMES,884585.7,588545.21060151,134978799.0,229.34312703360175,84.37345237476366,,,,,
2012,11,TOTAL LEGUMES,671057.45,598292.7663906609,131240828.0,219.35887473910233,81.8790784851129,,,,,
2013,4,TOTAL LEGUMES,572904.95,246243.37073462593,75751967.59961,307.63048513191103,98.72028743134548,,,,,
2013,12,TOTAL LEGUMES,718428.0,363774.0,115086108.0,316.3670520707912,90.99442467917218,,,,,
2013,2,TOTAL LEGUMES,480959.7,252119.1900177883,85955224.537598,340.9309086370356,96.23428392387477,,,,,
2013,9,TOTAL LEGUMES,831748.5,296465.6296651011,95404435.97659999,321.80605921965554,88.50005078952144,,,,,
2014,4,TOTAL LEGUMES,546895.2,230801.0,78901655.0,341.8601089250047,89.68027467690652,,,,,
2014,12,TOTAL LEGUMES,583132.6,341635.0,99432540.0,291.04904356989186,89.33708900752505,,,,,
2014,3,TOTAL LEGUMES,394908.0,167874.0,70747686.0,421.43325351156227,95.12939347611001,,,,,
2014,7,TOTAL LEGUMES,959646.2,407514.0,110953288.0,272.26865334687886,92.46761194285854,,,,,
2014,10,TOTAL LEGUMES,1001711.1,579127.0,148500607.0,256.4214878601758,91.24553614457328,,,,,
2014,8,TOTAL LEGUMES,988551.55,510032.0,128115186.0,251.19048608714746,86.96827085057484,,,,,
2014,11,TOTAL LEGUMES,869370.65,425016.0,108939884.0,256.3194891486438,88.03967976961945,,,,,
2014,2,TOTAL LEGUMES,325222.2,146957.0,55037993.0,374.51766843362344,101.00540176649534,,,,,
2014,9,TOTAL LEGUMES,984491.1000000001,481134.0,124130857.0,257.99643550445404,88.51679155388152,,,,,
2015,10,TOTAL LEGUMES,1130653.9000000001,550217.0,119949231.0,218.00349861963554,83.61174759638037,,,,,
2015,11,TOTAL LEGUMES,1070139.0499999998,419379.0,89151403.0,212.57955930077566,79.67766797176341,,,,,
2015,1,TOTAL LEGUMES,501171.00000000006,336237.0,102521096.0,304.9072410234448,91.48827722779431,,,,,
2015,12,TOTAL LEGUMES,825200.8300000001,387185.0,89279156.0,230.58526544158477,83.14300619429835,,,,,
2015,3,TOTAL LEGUMES,299623.05,162008.0,70511370.0,435.23387733939063,114.56542089815379,,,,,
2015,6,TOTAL LEGUMES,657770.95,266890.0,86948595.0,325.7843868260332,90.76842436031122,,,,,
2016,8,TOTAL LEGUMES,1126456.7000000002,355138.0,104809236.0,295.1225608073481,91.6222033426749,,,,,
2016,3,TOTAL LEGUMES,416336.05,179967.0,65050285.0,361.4567392910923,104.85577756931194,,,,,
2016,12,TOTAL LEGUMES,728985.0999999999,411496.0,125658401.0,305.3696779555573,101.67503234089823,,,,,
2016,9,TOTAL LEGUMES,1044551.8000000002,456999.0,121181914.0,265.16888220761973,89.46264474022558,,,,,
2016,7,TOTAL LEGUMES,913005.7499999999,316278.0,103239138.0,326.41896685827027,96.36821003875535,,,,,
2016,1,TOTAL LEGUMES,673315.2000000001,434401.0,127738634.0,294.0569519867588,92.47598232503857,,,,,
2017,2,TOTAL LEGUMES,415807.19999999995,153768.4,56787588.0,369.3059692368523,98.8625839284061,,,,,
2017,11,TOTAL LEGUMES,921913.5,425056.0,113294452.0,266.54006060377924,93.82361385602438,,,,,
2017,9,TOTAL LEGUMES,1088600.8,547926.0,142379207.0,259.8511605581776,93.07864984200117,,,,,
2017,10,TOTAL LEGUMES,1145306.2999999998,360249.0,86935630.0,241.32094745578752,91.37109187727381,,,,,
2017,5,TOTAL LEGUMES,349291.19999999995,189181.0,80206477.0,423.9668729946453,104.91437024457218,,,,,
2017,12,TOTAL LEGUMES,1076873.2999999998,479934.0,146630903.0,305.5230573370505,101.7168842517984,,,,,
2018,6,TOTAL LEGUMES,679607.0,208253.04999999996,68717711.0,329.97217087576877,94.8699116285289,,,,,
2019,3,TOTAL LEGUMES,386408.1,96421.40000000002,43861529.300000004,454.89413449711367,103.76762788590725,,,,,
2019,1,TOTAL LEGUMES,740737.0000000001,283602.0,87632917.0,308.99964386710957,94.76109666018843,,,,,
2019,12,TOTAL LEGUMES,1073389.0,163631.1,52191972.0,318.96119991859734,90.00671958192794,,,,,
2019,5,TOTAL LEGUMES,551372.0,133832.6,52482610.0,392.15116496279677,94.25887372938627,,,,,
2019,10,TOTAL LEGUMES,1198290.5,179672.4,43871807.0,244.17666263711067,87.40353072393671,,,,,
2019,9,TOTAL LEGUMES,1084689.8,191242.15,49170840.0,257.1129847682637,91.10323964751267,,,,,
2019,4,TOTAL LEGUMES,490394.39999999997,145709.19999999998,60309629.4,413.90405959266815,99.2559918908678,,,,,
2020,7,TOTAL LEGUMES,872081.0,158806.98,56611436.0,356.4795199807968,97.19201750064552,99.0677404660427,,,,
2020,8,TOTAL LEGUMES,1080901.85,233771.80000000002,75591965.0,323.35792854399034,93.64815457443493,91.62780166535184,,,,
2020,5,TOTAL LEGUMES,619415.1,71277.84999999999,26630081.25,373.6094908867201,99.68873361555748,101.68285403248109,,,,
2021,5,TOTAL LEGUMES,464389.0,110808.40000000002,55816475.0,503.7206114337901,125.58022905468599,129.3053450566094,2021-05-17,2021-06-16,886.1699999999998,0.0
2021,6,TOTAL LEGUMES,466481.0,156930.22999999998,75443917.0,480.74814521077303,119.79647161965087,126.20206300907519,2021-06-16,2021-07-15,421.06000000000006,0.0
2022,1,TOTAL LEGUMES,310268.1,101593.91000000002,51558183.0,507.49285070335407,124.94521948807551,131.41652880193254,2022-01-16,2022-02-15,1279.7199999999998,751.9379999999999
2022,6,TOTAL LEGUMES,586980.1,131966.2,65686214.0,497.75028757363623,129.14280373404225,133.5015696149867,2022-06-16,2022-07-15,638.8799999999999,262.667
2022,5,TOTAL LEGUMES,451661.2,117155.68000000001,63523667.0,542.2158532987901,136.73604073817577,146.99621854227763,2022-05-16,2022-06-15,977.344,460.073
2022,8,TOTAL LEGUMES,550932.0,165516.03,70913770.0,428.4404960655472,123.10405048927893,114.66584325185609,2022-08-16,2022-09-15,400.23,188.72499999999997
2022,10,TOTAL LEGUMES,618494.0,197955.90000000002,72085639.0,364.14998997251405,120.68746879146943,99.55497990158968,2022-10-16,2022-11-15,322.27,121.33299999999998
2023,1,TOTAL LEGUMES,481412.6,115658.44,62633350.0,541.5372194195253,141.617866519701,149.61885071761222,2023-01-16,2023-02-15,1039.436,538.8120000000001
2012,1,TOTAL FRUITS (HORS VANILLE),441629.0,314155.0,66441463.0,211.4926167019465,85.17774689747606,,,,,
2012,5,TOTAL FRUITS (HORS VANILLE),386839.0,195962.6001026,44535839.0,227.2670345090461,87.78422964502418,,,,,
2012,2,TOTAL FRUITS (HORS VANILLE),354403.0,120970.30033289999,27781257.0,229.65353416126388,84.50729324275991,,,,,
2013,11,TOTAL FRUITS (HORS VANILLE),473590.0,252810.0,64987133.0,257.0591867410308,100.56804820742066,,,,,
2013,7,TOTAL FRUITS (HORS VANILLE),295323.0,200743.22014220004,47760087.5234,237.91631662363636,100.80157700850155,,,,,
