,CODE_PRODUIT,NOM,SECTEUR_CONSO,SOUS_SECTEUR_CONSO,FAMILLE_PRODUIT,SOUS_FAMILLE,VARIETE,CATEGORIE,DEPARTEMENT,MARQUE,CONDITIONNEMENT,COND_UNITE_LIBELLE_LONG,COND_UNITE_LIBELLE_COURT,GENCOD,PRIX_RELEVE,DATE_RELEVE,PROMOTION,TOP_500,TYPE_RELEVE,RAISON_SOCIALE,RIDET,TYPE_ADRESSE,NUM_VOIE,TYPE_VOIE,NOM_VOIE,COMPLEMENT_ADRESSE,QUARTIER,CODE_POSTAL,COMMUNE,LONGITUDE,LATITUDE
3415,144009,DOUBLON café moulu L'Or espresso n°9 capsule x10 compatible nespresso,épicerie sucrée,"café, thé, boisson chaude",café,café dosette et capsule,café en capsule compatible nespresso,IMPORT,Sec,L'Or,10.0,Capsules,caps,D3228470028851,835,2015-12-07 00:00:00.000,0,N,,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),474460002.0,PHYSIQUE,21-23,rue,de l'Alma,,Centre-Ville,,Nouméa,166.439959,-22.269194
3416,46061,thé noir Lipton yellow sachet x100,épicerie sucrée,"café, thé, boisson chaude","thé, infusion",thé,thé noir,IMPORT,Sec,Lipton,100.0,Unité,u,5410033853002; 3228881005373; 5410033800211; 8888086010302; 9310021012045; 8999999529147; 8720608615100,550,2017-01-02 00:00:00.000,0,N,,ARIZONA ROBINSON,832956005.0,PHYSIQUE,59,lotissement,Robinson,,Robinson,,Mont-Dore,166.512649,-22.224863
3417,155176,yaourt aux fruits Yoplait panier pomme/poire pot 4 x 125 g,crémerie,yaourt,yaourt,yaourt laitier,yaourt laitier aux fruits ou aromatisé,LOCAL,Frais,Yoplait,0.5,Kilogramme,kg,3297560130361; 3297560130644,470,2019-11-26 00:00:00.000,0,N,A,CARREFOUR MARKET MAGENTA,474460008.0,PHYSIQUE,50,rue,du 18 juin,,Magenta,,Nouméa,166.463054,-22.27166
3418,155176,yaourt aux fruits Yoplait panier pomme/poire pot 4 x 125 g,crémerie,yaourt,yaourt,yaourt laitier,yaourt laitier aux fruits ou aromatisé,LOCAL,Frais,Yoplait,0.5,Kilogramme,kg,3297560130361; 3297560130644,480,2020-01-07 00:00:00.000,0,N,A,CARREFOUR EXPRESS NAKUTAKOIN,832956004.0,PHYSIQUE,,route,de Nakutakoin - baie de nouré,,Baie des Citrons,,Dumbéa,166.415695,-22.173535
3419,46658,corned beef Punu Pua'atoro conserve 330 g,épicerie salée,conserves et bocaux,conserve de plat cuisiné,conserve de plat cuisiné,conserve de plat cuisiné : corned beef,LOCAL,Sec,,0.33,Kilogramme,kg,3700739200333; 7300330007629; 3245942713947; 2312125; 3700739200326,590,2020-08-06 00:00:00.000,0,N,T,LIBRE SERVICE ALIMENTATION CHUVAN NORMANDIE,597336001.0,PHYSIQUE,1,rue,Pierre Lecole,,Normandie,,Nouméa,166.491474,-22.229849
3420,178288,mayonnaise Casino à la moutarde bocal 470 g,épicerie salée,"assaisonnement, condiment, aide culinaire",condiment et sauce,condiment,mayonnaise,IMPORT,Sec,Casino,0.47,Kilogramme,kg,3222471057568 ,230,2021-02-23 00:00:00.000,0,N,A,GEANT SAINTE-MARIE,73999002.0,PHYSIQUE,7,rue,Henri Schmitd,,Vallée des Colons,,Nouméa,166.458795,-22.275366
3421,210764,beurre demi-sel Carrefour lait d'origine bretagne plaquette 250 g,crémerie,"beurre, margarine",beurre,beurre,beurre demi-sel,IMPORT,Sec,Carrefour,0.25,Kilogramme,kg,3270190025566,270,2021-07-16 00:00:00.000,0,N,A,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),474460002.0,PHYSIQUE,21-23,rue,de l'Alma,,Centre-Ville,,Nouméa,166.439959,-22.269194
3422,135983,pâté de jambon Hénaff 1/6 conserve 130 g,épicerie salée,conserves et bocaux,"conserve de viande, pâté, terrine, foie gras","conserve de pâté, terrine","conserve de pâté, terrine : porc",IMPORT,Sec,Hénaff,0.13,Kilogramme,kg,3021210026236,410,2022-08-17 00:00:00.000,1,N,A,CARREFOUR MARKET MAGENTA,474460008.0,PHYSIQUE,50,rue,du 18 juin,,Magenta,,Nouméa,166.463054,-22.27166
3423,46658,corned beef Punu Pua'atoro conserve 330 g,épicerie salée,conserves et bocaux,conserve de plat cuisiné,conserve de plat cuisiné,conserve de plat cuisiné : corned beef,LOCAL,Sec,,0.33,Kilogramme,kg,3700739200333; 7300330007629; 3245942713947; 2312125; 3700739200326,540,2022-11-15 00:00:00.000,0,N,A,CASINO PORT PLAISANCE - SUPERMARCHE,214049001.0,PHYSIQUE,10,rue,Jules Garnier,Galerie Port Plaisance,Baie des Citrons,,Nouméa,166.439011,-22.290918
3424,165123,sirop Leader Price cassis bouteille aluminium 75 cl,boisson,boisson sans alcool,sirop et concentré,sirop aromatisé,sirop aromatisé : autres,IMPORT,Sec,Leader Price,0.75,Litre,l,3014400010863,395,2014-10-03 00:00:00.000,0,,,LEADER PRICE BOURAIL,524637002.0,PHYSIQUE,,route,territoriale 1,,,,Bourail,165.498621,-21.582622
3425,135617,sauce pimentée Tabasco bouteille 57 ml,épicerie salée,"assaisonnement, condiment, aide culinaire",condiment et sauce,sauce exotique,sauce exotique : autres,IMPORT,Sec,McIlhenny,0.057,Litre,l,5000134001602,425,2016-05-27 00:00:00.000,0,,,CASINO MONT DORE,428367002.0,PHYSIQUE,23,route,du Sud - Centre commercial de la Coulée,,Centre-Ville,,Mont-Dore,166.586133,-22.238509
