,CODE_PRODUIT,NOM,SECTEUR_CONSO,SOUS_SECTEUR_CONSO,FAMILLE_PRODUIT,SOUS_FAMILLE,CATEGORIE,DEPARTEMENT,MARQUE,CONDITIONNEMENT,COND_UNITE_LIBELLE_COURT,PRIX_RELEVE,DATE_RELEVE,PROMOTION,TOP_500,TYPE_RELEVE,RAISON_SOCIALE,TYPE_ADRESSE,QUARTIER,COMMUNE,LONGITUDE,LATITUDE
0,41202,céréale Kellogg's corn flakes paquet 460 g,épicerie sucrée,céréale petit déjeuner,céréale petit déjeuner,céréale petit déjeuner,IMPORT,Sec,Kellogg's,0.46,kg,575,2014-04-07 00:00:00.000,0,N,,CARREFOUR EXPRESS PAITA (ancien ARIZONA PAITA),PHYSIQUE,,Païta,166.367278,-22.129734
1,138518,croûton de pain Vico nature sachet 110 g,épicerie salée,"soupe, croûton","soupe, croûton",crouton,IMPORT,Sec,Vico,0.11,kg,350,2014-05-26 00:00:00.000,0,N,,CARREFOUR EXPRESS NAKUTAKOIN,PHYSIQUE,Baie des Citrons,Dumbéa,166.415695,-22.173535
2,135865,rillette de crabe Petit Navire pot 1/6 125 g,épicerie salée,conserves et bocaux,conserve de poisson,conserve de poisson,IMPORT,Sec,Petit Navire,0.125,kg,490,2017-01-24 00:00:00.000,0,N,,SUPER NORD (VIVAL KOUMAC) Fermé,PHYSIQUE,Centre-Ville,Koumac,164.281,-20.562
3,45709,boisson aux fruits Golden Circle orange brique 1 l,boisson,boisson sans alcool,jus de fruits et légumes,boisson aux fruits,IMPORT,Sec,Golden Circle,1.0,l,270,2017-02-17 00:00:00.000,0,,,JOHNSTON,PHYSIQUE,Centre-Ville,Nouméa,166.438187,-22.272201
4,160337,flocon d'avoine Jardin Bio sachet 500 g,épicerie sucrée,céréale petit déjeuner,céréale petit déjeuner,céréale petit déjeuner,IMPORT,Sec,Jardin Bio',0.5,kg,695,2017-07-10 00:00:00.000,0,N,,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),PHYSIQUE,Centre-Ville,Nouméa,166.439959,-22.269194
5,45709,boisson aux fruits Golden Circle orange brique 1 l,boisson,boisson sans alcool,jus de fruits et légumes,boisson aux fruits,IMPORT,Sec,Golden Circle,1.0,l,299,2018-09-17 00:00:00.000,0,N,A,ARIZONA MONT-DORE,PHYSIQUE,Portes d'or,Mont-Dore,166.577688,-22.240721
6,196233,fromage saint paulin Merci chef! sous-vide 200 g,crémerie,fromage,fromage,fromage : autres,IMPORT,Frais,,0.2,kg,210,2019-06-25 00:00:00.000,0,N,A,CARREFOUR MARKET MAGENTA,PHYSIQUE,Magenta,Nouméa,166.463054,-22.27166
7,46218,biscuit apéritif Biguns barbecue paquet 180 g,épicerie salée,produit apéritif,produit apéritif,biscuit apéritif,LOCAL,Sec,Biguns,0.18,kg,355,2020-01-28 00:00:00.000,0,N,A,SUPER U RIVIERE SALEE,PHYSIQUE,Rivière Salée,Nouméa,166.464522,-22.23368
8,160337,flocon d'avoine Jardin Bio sachet 500 g,épicerie sucrée,céréale petit déjeuner,céréale petit déjeuner,céréale petit déjeuner,IMPORT,Sec,Jardin Bio',0.5,kg,640,2020-08-04 00:00:00.000,0,N,A,CARREFOUR MARKET MAGENTA,PHYSIQUE,Magenta,Nouméa,166.463054,-22.27166
9,46256,betterave D'Aucy en dés 1/2 conserve 265 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume,IMPORT,Sec,D'Aucy,0.265,kg,205,2021-03-10 00:00:00.000,0,N,A,ARIZONA MONT-DORE,PHYSIQUE,Portes d'or,Mont-Dore,166.577688,-22.240721
10,46218,biscuit apéritif Biguns barbecue paquet 180 g,épicerie salée,produit apéritif,produit apéritif,biscuit apéritif,LOCAL,Sec,Biguns,0.18,kg,390,2021-05-11 00:00:00.000,0,N,A,STATION PACIFIC ENERGY BACO,PHYSIQUE,,Koné,164.896561,-21.100769
11,45709,boisson aux fruits Golden Circle orange brique 1 l,boisson,boisson sans alcool,jus de fruits et légumes,boisson aux fruits,IMPORT,Sec,Golden Circle,1.0,l,305,2022-07-05 00:00:00.000,0,N,T,STATION TOTAL FAUBOURG,PHYSIQUE,Faubourg blanchot,Nouméa,166.453208,-22.282192
12,224066,épice mélangée Sainte Lucie pour salade flacon 12 g,épicerie salée,"assaisonnement, condiment, aide culinaire","herbe et épice culinaire, sel, poivre",épice culinaire,IMPORT,Sec,Sainte Lucie,0.012,kg,380,2022-10-18 00:00:00.000,0,N,A,MAGENTA DISCOUNT,PHYSIQUE,6e kilomètre,Nouméa,166.468288,-22.24403
13,241678,bonbon Haribo happy monsters sachet 220 g,épicerie sucrée,"chocolat, confiserie",confiserie,bonbon,IMPORT,Sec,Haribo,0.22,kg,450,2022-12-07 00:00:00.000,0,N,A,CARREFOUR MARKET N'GEA,PHYSIQUE,Faubourg blanchot,Nouméa,166.456598,-22.285624
14,195715,thé vert U green flower sachet x25 ,épicerie sucrée,"café, thé, boisson chaude","thé, infusion",thé,IMPORT,,,25.0,u,225,2023-05-09 00:00:00.000,0,N,A,SUPER U KAMERE,PHYSIQUE,Kaméré,Nouméa,166.432669,-22.231958
15,46218,biscuit apéritif Biguns barbecue paquet 180 g,épicerie salée,produit apéritif,produit apéritif,biscuit apéritif,LOCAL,Sec,Biguns,0.18,kg,430,2023-08-02 00:00:00.000,0,N,A,POINDIMIE DISCOUNT,PHYSIQUE,,Poindimié,165.333178,-20.937187
16,135062,brioche Harry's tranchée sachet 500 g,"pain, viennoiserie, pâtisserie","pain, viennoiserie, pâtisserie",viennoiserie et brioche,brioche,IMPORT,Sec,,0.5,kg,780,2013-11-07 00:00:00.000,0,N,,BOURAIL DISCOUNT,PHYSIQUE,,Bourail,165.496776,-21.567371
17,54178,jus de fruits Oro pomme/mangue bouteille 1 l,boisson,boisson sans alcool,jus de fruits et légumes,jus de fruits,LOCAL,Sec,Oro,1.0,l,210,2016-06-20 00:00:00.000,0,N,,ARIZONA MONT-DORE,PHYSIQUE,Portes d'or,Mont-Dore,166.577688,-22.240721
18,46404,pâte spaghetti Eco Bleu sachet 450 g,épicerie salée,"pâte, riz, purée, céréale",pâte sèche,pâte longue,IMPORT,Sec,Eco,0.45,kg,185,2016-12-26 00:00:00.000,0,N,,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),PHYSIQUE,Centre-Ville,Nouméa,166.439959,-22.269194
19,135062,brioche Harry's tranchée sachet 500 g,"pain, viennoiserie, pâtisserie","pain, viennoiserie, pâtisserie",viennoiserie et brioche,brioche,IMPORT,Sec,,0.5,kg,840,2019-07-31 00:00:00.000,0,N,A,CARREFOUR KENU IN,PHYSIQUE,Centre-Ville,Dumbéa,166.473018,-22.222647
20,211622,sirop Belle France grenadine bouteille 75 cl,boisson,boisson sans alcool,sirop et concentré,sirop aromatisé,IMPORT,Sec,Belle France,0.75,l,251,2019-07-22 00:00:00.000,0,N,T,JOHNSTON,PHYSIQUE,Centre-Ville,Nouméa,166.438187,-22.272201
21,195213,biscuit cookie Carrefour aux pépites de chocolat/noisettes paquet 200 g,épicerie sucrée,"biscuit et gâteau, barre de céréales","biscuit fourré, nappé","biscuit fourré, nappé",IMPORT,Sec,Carrefour,0.2,kg,340,2023-03-08 00:00:00.000,0,N,A,CARREFOUR MARKET Orphelinat,PHYSIQUE,Orphelinat,Nouméa,166.445296,-22.283924
22,138013,compote Valade pomme/ananas pot 4 x 100 g,épicerie sucrée,"compote, crème dessert, fruit au sirop","compote, crème dessert, fruit au sirop",compote,IMPORT,Sec,Valade,0.4,kg,175,2014-01-20 00:00:00.000,0,N,,CARREFOUR EXPRESS PAITA (ancien ARIZONA PAITA),PHYSIQUE,,Païta,166.367278,-22.129734
23,132718,pâte penne rigate Barilla n°73 paquet 500 g,épicerie salée,"pâte, riz, purée, céréale",pâte sèche,pâte courte,IMPORT,Sec,Barilla,0.5,kg,144,2016-09-05 00:00:00.000,0,N,,ARIZONA ROBINSON,PHYSIQUE,Robinson,Mont-Dore,166.512649,-22.224863
24,132718,pâte penne rigate Barilla n°73 paquet 500 g,épicerie salée,"pâte, riz, purée, céréale",pâte sèche,pâte courte,IMPORT,Sec,Barilla,0.5,kg,145,2016-10-03 00:00:00.000,0,N,,AUCHAN SUPERMARCHE TONTOUTA,PHYSIQUE,Tontouta,Païta,166.223,-22.012
25,54877,sirop Tulem pêche bouteille 1 l ,boisson,boisson sans alcool,sirop et concentré,sirop aromatisé,LOCAL,Sec,Tulem,1.0,l,340,2016-12-19 00:00:00.000,0,N,,CARREFOUR MARKET N'GEA,PHYSIQUE,Faubourg blanchot,Nouméa,166.456598,-22.285624
26,159986,smoothie aux fruits Nu mangue/orange brique 75 cl,boisson,boisson sans alcool,jus de fruits et légumes,smoothie,IMPORT,Sec,,0.75,l,495,2017-01-02 00:00:00.000,0,N,,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),PHYSIQUE,Centre-Ville,Nouméa,166.439959,-22.269194
27,45876,pâte torti Panzani sachet 500 g,épicerie salée,"pâte, riz, purée, céréale",pâte sèche,pâte courte,IMPORT,Sec,Panzani,0.5,kg,280,2019-06-26 00:00:00.000,0,N,T,SHELL BEAURIVAGE WABAO MARE,PHYSIQUE,,Maré,167.940516,-21.601788
28,45876,pâte torti Panzani sachet 500 g,épicerie salée,"pâte, riz, purée, céréale",pâte sèche,pâte courte,IMPORT,Sec,Panzani,0.5,kg,234,2019-09-17 00:00:00.000,0,O,A,KORAIL PAITA,PHYSIQUE,,Païta,166.3641,-22.130239
29,45876,pâte torti Panzani sachet 500 g,épicerie salée,"pâte, riz, purée, céréale",pâte sèche,pâte courte,IMPORT,Sec,Panzani,0.5,kg,255,2019-10-10 00:00:00.000,0,N,T,CHEZ VIVIANE,PHYSIQUE,,Dumbéa,166.445,-22.192
30,217550,frite surgelée Dann'ka sachet 2.5 kg,surgelés,"frite, pomme de terre surgelée","frite, pomme de terre surgelée",frite surgelée,IMPORT,Sec,Dann'ka,2.5,kg,995,2020-09-29 00:00:00.000,0,N,A,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),PHYSIQUE,Centre-Ville,Nouméa,166.439959,-22.269194
31,138013,compote Valade pomme/ananas pot 4 x 100 g,épicerie sucrée,"compote, crème dessert, fruit au sirop","compote, crème dessert, fruit au sirop",compote,IMPORT,Sec,Valade,0.4,kg,245,2020-10-26 00:00:00.000,0,N,A,ETABLISSEMENTS ROES,PHYSIQUE,,Koné,164.861788,-21.060495
32,45876,pâte torti Panzani sachet 500 g,épicerie salée,"pâte, riz, purée, céréale",pâte sèche,pâte courte,IMPORT,Sec,Panzani,0.5,kg,235,2021-06-08 00:00:00.000,0,O,A,CASINO MONT DORE,PHYSIQUE,Centre-Ville,Mont-Dore,166.586133,-22.238509
33,229006,yaourt à boire Yoplait Yop banane/fraise bouteille 500 g,crémerie,yaourt,yaourt,yaourt laitier,LOCAL,,,0.5,kg,349,2023-01-09 00:00:00.000,0,N,A,AUCHAN BELLE VIE,PHYSIQUE,6e kilomètre,Nouméa,,
34,157111,riz complet Bjorg nature à poêler paquet 300 g,épicerie salée,"pâte, riz, purée, céréale",riz,riz,IMPORT,Sec,Bjorg,0.3,kg,795,2014-11-03 00:00:00.000,0,N,,CARREFOUR MARKET ROBINSON,PHYSIQUE,Centre-Ville,Mont-Dore,166.507959,-22.224536
35,41343,cassoulet Bouloup au porc 4/4 conserve 840 g,épicerie salée,conserves et bocaux,conserve de plat cuisiné,conserve de plat cuisiné,LOCAL,Sec,Bouloup,0.84,kg,535,2017-08-07 00:00:00.000,0,N,,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),PHYSIQUE,Centre-Ville,Nouméa,166.439959,-22.269194
36,181146,mozzarella Zanetti bio di bufala campana sachet 125 g,crémerie,fromage,fromage,"fromage : mozzarella, feta, mascarpone",IMPORT,Frais,,0.125,kg,875,2018-03-12 00:00:00.000,0,,,GEANT SAINTE-MARIE,PHYSIQUE,Vallée des Colons,Nouméa,166.458795,-22.275366
37,176001,biscuit apéritif Eta cravers smokey bacon paquet 190 g,épicerie salée,produit apéritif,produit apéritif,biscuit apéritif,IMPORT,Sec,Eta,0.19,kg,300,2019-08-20 00:00:00.000,0,N,A,DISCOUNT TEARI,PHYSIQUE,,Koné,164.869635,-21.071729
38,211164,confiture myrtille Bonne Maman intense bocal 335 g,épicerie sucrée,"confiture, pâte à tartiner, miel",confiture,confiture aux fruits rouges,IMPORT,Sec,,0.335,kg,395,2021-11-17 00:00:00.000,1,N,A,CARREFOUR EXPRESS PAITA (ancien ARIZONA PAITA),PHYSIQUE,,Païta,166.367278,-22.129734
39,147039,pain d'épices Bjorg miel paquet 300 g,épicerie sucrée,"biscuit et gâteau, barre de céréales",gâteau,gâteau moelleux,IMPORT,Sec,Bjorg,0.3,kg,585,2014-08-04 00:00:00.000,0,N,,SUPER U KAMERE,PHYSIQUE,Kaméré,Nouméa,166.432669,-22.231958
40,140484,emmental Président bloc sachet 220 g,crémerie,fromage,fromage,"fromage : emmental, comté, gouda,",IMPORT,Frais,Président,0.22,kg,640,2017-10-30 00:00:00.000,0,N,,MAGENTA DISCOUNT,PHYSIQUE,6e kilomètre,Nouméa,166.468288,-22.24403
41,159752,glace yaourt/fraise Switi bac 2 l,surgelés,"glace, dessert glacé",glace et sorbet,glace à partager : autres,LOCAL,Surgelés,Switi,2.0,l,1005,2018-05-14 00:00:00.000,0,N,,CARREFOUR KENU IN,PHYSIQUE,Centre-Ville,Dumbéa,166.473018,-22.222647
42,204097,cranberrie Sainte Lucie moelleuse d'Amérique 100% naturel sachet 125 g,fruit et légume,fruit et légume sec,"fruit sec, graine",fruit sec,IMPORT,Sec,Sainte Lucie,0.125,kg,415,2019-04-08 00:00:00.000,0,N,A,AUCHAN SUPERMARCHE NOUMEA ,PHYSIQUE,Motor Pool,Nouméa,166.448155,-22.291739
43,217629,soda aux fruits Amigo ananas/stevia bouteille 60 cl,boisson,boisson sans alcool,soda,soda aux fruits,LOCAL,Sec,,0.6,l,215,2020-06-09 00:00:00.000,0,N,A,CARREFOUR EXPRESS NAKUTAKOIN,PHYSIQUE,Baie des Citrons,Dumbéa,166.415695,-22.173535
44,147039,pain d'épices Bjorg miel paquet 300 g,épicerie sucrée,"biscuit et gâteau, barre de céréales",gâteau,gâteau moelleux,IMPORT,Sec,Bjorg,0.3,kg,510,2022-10-18 00:00:00.000,0,N,A,GEANT DUMBEA - CENTRE COMMERCIAL DUMBEA MALL,PHYSIQUE,,Dumbéa,166.451101,-22.20383
45,181181,compote Leader Price pomme/banane allégée gourde 4 x 90 g,épicerie sucrée,"compote, crème dessert, fruit au sirop","compote, crème dessert, fruit au sirop",compote,IMPORT,Sec,Leader Price,0.36,kg,235,2023-06-06 00:00:00.000,0,O,A,LEADER PRICE CONCEPTION,PHYSIQUE,La Conception,Mont-Dore,166.503788,-22.226589
46,138642,préparation pour crème frangipane Vahiné pour tarte et galette sachet de 200 g,épicerie sucrée,"sucre, farine, aide à la pâtisserie",aide à la pâtisserie,aide à la pâtisserie,IMPORT,Sec,,0.2,kg,495,2013-11-25 00:00:00.000,0,N,,CARREFOUR MARKET ROBINSON,PHYSIQUE,Centre-Ville,Mont-Dore,166.507959,-22.224536
47,177248,boisson à l'aloe vera Ace Farm ananas bouteille 50 cl,boisson,boisson sans alcool,boisson : autres,boisson : autres,IMPORT,Sec,,0.5,l,282,2019-09-24 00:00:00.000,0,N,A,CARREFOUR EXPRESS SIB DUCOS,PHYSIQUE,Ducos,Nouméa,166.442932,-22.235328
48,136046,confiture fraise Materne Confipote bocal 350 g,épicerie sucrée,"confiture, pâte à tartiner, miel",confiture,confiture aux fruits rouges,IMPORT,Sec,,0.35,kg,399,2019-09-06 00:00:00.000,0,N,A,POINDIMIE DISCOUNT,PHYSIQUE,,Poindimié,165.333178,-20.937187
49,196273,frite surgelée Bouton D'Or sachet 1 kg,surgelés,"frite, pomme de terre surgelée","frite, pomme de terre surgelée",frite surgelée,IMPORT,Surgelés,,1.0,kg,285,2019-12-31 00:00:00.000,0,O,A,STATION PACIFIC ENERGY BACO,PHYSIQUE,,Koné,164.896561,-21.100769
50,193984,riste d'aubergine Jean Martin spécialité d'arles bocal 600 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume cuisiné,IMPORT,Sec,Jean Martin,0.6,kg,950,2021-12-08 00:00:00.000,0,N,A,CARREFOUR KENU IN,PHYSIQUE,Centre-Ville,Dumbéa,166.473018,-22.222647
51,187470,mayonnaise Lesieur la mayo bocal 235 g,épicerie salée,"assaisonnement, condiment, aide culinaire",condiment et sauce,condiment,IMPORT,Sec,Lesieur,0.237,kg,235,2021-11-24 00:00:00.000,0,N,A,ARIZONA ROBINSON,PHYSIQUE,Robinson,Mont-Dore,166.512649,-22.224863
52,143959,terrine bretonne Jean Floc'h bocal 170 g,charcuterie,"pâté, rillettes, foie gras","pâté, rillettes, foie gras","pâté, rillettes, foie gras",IMPORT,Sec,Jean Floc'h,0.17,kg,265,2021-12-29 00:00:00.000,0,N,A,CARREFOUR MARKET DUCOS,PHYSIQUE,Ducos,Nouméa,,
53,214268,levure chimique Vahiné poudre à lever sachet 5 x 11 g,épicerie sucrée,"sucre, farine, aide à la pâtisserie",aide à la pâtisserie,aide à la pâtisserie,IMPORT,Sec,,0.055,kg,135,2022-04-13 00:00:00.000,0,N,A,CARREFOUR MARKET N'GEA,PHYSIQUE,Faubourg blanchot,Nouméa,166.456598,-22.285624
54,219537,chocolat de fête Choc & Co assortiment boîte 250 g,épicerie sucrée,"chocolat, confiserie",chocolat,chocolat à offrir,IMPORT,Sec,,0.25,kg,2170,2023-01-31 00:00:00.000,0,N,A,SUPER U MAGECO,PHYSIQUE,Doniambo,Nouméa,166.443758,-22.259361
55,55217,boisson énergisante Rockstar punched guava boîte 50 cl,boisson,boisson sans alcool,boisson énergisante,boisson énergisante,IMPORT,Sec,,0.5,l,350,2013-12-30 00:00:00.000,0,N,,CARREFOUR MARKET ROBINSON,PHYSIQUE,Centre-Ville,Mont-Dore,166.507959,-22.224536
56,140393,café moulu Saoui tonus 30% arabica 70% robusta sachet 500 g,épicerie sucrée,"café, thé, boisson chaude",café,café moulu et en grain,LOCAL,Sec,,0.5,kg,875,2014-12-15 00:00:00.000,0,N,,ARIZONA ROBINSON,PHYSIQUE,Robinson,Mont-Dore,166.512649,-22.224863
57,46702,glace chocolat blanc Magnum bâtonnet 120 ml,surgelés,"glace, dessert glacé",glace et sorbet,glace et sorbet individuel,IMPORT,Surgelés,,0.12,l,225,2015-10-12 00:00:00.000,0,N,,CARREFOUR KENU IN,PHYSIQUE,Centre-Ville,Dumbéa,166.473018,-22.222647
58,135326,biscuit nice Arnott's paquet 250 g,épicerie sucrée,"biscuit et gâteau, barre de céréales","biscuit sec, sablé","biscuit sec, sablé",IMPORT,Sec,Arnott's,0.25,kg,367,2015-12-07 00:00:00.000,0,N,,SUPER U KAMERE,PHYSIQUE,Kaméré,Nouméa,166.432669,-22.231958
59,135326,biscuit nice Arnott's paquet 250 g,épicerie sucrée,"biscuit et gâteau, barre de céréales","biscuit sec, sablé","biscuit sec, sablé",IMPORT,Sec,Arnott's,0.25,kg,270,2016-03-14 00:00:00.000,0,N,,SUPER U KOUMAC,PHYSIQUE,,Koumac,164.285,-20.558
60,53251,soda aux fruits Tulem menthe bouteille 1.25 l,boisson,boisson sans alcool,soda,soda aux fruits,LOCAL,Sec,Tulem,1.25,l,260,2016-03-16 00:00:00.000,0,,,JISY,PHYSIQUE,Ducos,Nouméa,166.4426,-22.244319
61,53251,soda aux fruits Tulem menthe bouteille 1.25 l,boisson,boisson sans alcool,soda,soda aux fruits,LOCAL,Sec,Tulem,1.25,l,242,2017-09-04 00:00:00.000,0,N,,ARIZONA MONT-DORE,PHYSIQUE,Portes d'or,Mont-Dore,166.577688,-22.240721
62,53251,soda aux fruits Tulem menthe bouteille 1.25 l,boisson,boisson sans alcool,soda,soda aux fruits,LOCAL,Sec,Tulem,1.25,l,230,2018-06-18 00:00:00.000,0,N,,CASINO LES HALLES MAGENTA,PHYSIQUE,Magenta,Nouméa,166.469413,-22.244837
63,138759,compote Top Budget pomme allegée bocal 710 g,épicerie sucrée,"compote, crème dessert, fruit au sirop","compote, crème dessert, fruit au sirop",compote,IMPORT,Sec,Top Budget,0.71,kg,211,2018-10-22 00:00:00.000,0,N,A,STATION PACIFIC ENERGY BACO,PHYSIQUE,,Koné,164.896561,-21.100769
64,49717,sauce barbecue Eta top up 375 ml,épicerie salée,"assaisonnement, condiment, aide culinaire",condiment et sauce,sauce froide,IMPORT,Sec,,0.375,kg,189,2019-02-28 00:00:00.000,0,N,T,ALIMENTATION DOMINIQUE (ANCIEN),PHYSIQUE,Centre-Ville,Païta,166.370432,-22.130786
65,41408,blanc de poulet surgelé Bouquet sous-vide 900 g,surgelés,"viande, volaille surgelée",volaille surgelée,"poulet, dinde surgelé",IMPORT,Surgelés,Bouquet,0.9,kg,760,2019-12-24 00:00:00.000,0,N,A,ARIZONA ROBINSON,PHYSIQUE,Robinson,Mont-Dore,166.512649,-22.224863
66,135326,biscuit nice Arnott's paquet 250 g,épicerie sucrée,"biscuit et gâteau, barre de céréales","biscuit sec, sablé","biscuit sec, sablé",IMPORT,Sec,Arnott's,0.25,kg,305,2020-09-28 00:00:00.000,0,N,A,ETABLISSEMENTS ROES,PHYSIQUE,,Koné,164.861788,-21.060495
67,143018,compote Carrefour pomme pot 8 x 100 g,épicerie sucrée,"compote, crème dessert, fruit au sirop","compote, crème dessert, fruit au sirop",compote,IMPORT,Sec,Carrefour,0.8,kg,295,2021-09-01 00:00:00.000,0,N,A,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),PHYSIQUE,Centre-Ville,Nouméa,166.439959,-22.269194
68,46702,glace chocolat blanc Magnum bâtonnet 120 ml,surgelés,"glace, dessert glacé",glace et sorbet,glace et sorbet individuel,IMPORT,Surgelés,,0.12,l,235,2021-10-10 00:00:00.000,0,N,A,LA COTE,PHYSIQUE,,Poindimié,165.333038,-20.936545
69,205500,barre de céréales Chabrior fruits rouges paquet 6 x 18 g,épicerie sucrée,"biscuit et gâteau, barre de céréales",barre de céréales,barre de céréales,IMPORT,Sec,,0.108,kg,195,2021-12-21 00:00:00.000,0,N,A,KORAIL P.D.F,PHYSIQUE,,Mont-Dore,166.49,-22.221
70,53251,soda aux fruits Tulem menthe bouteille 1.25 l,boisson,boisson sans alcool,soda,soda aux fruits,LOCAL,Sec,Tulem,1.25,l,225,2021-12-14 00:00:00.000,1,O,A,SUPER U RIVIERE SALEE,PHYSIQUE,Rivière Salée,Nouméa,166.464522,-22.23368
71,55217,boisson énergisante Rockstar punched guava boîte 50 cl,boisson,boisson sans alcool,boisson énergisante,boisson énergisante,IMPORT,Sec,,0.5,l,575,2022-03-29 00:00:00.000,0,N,A,BOURAIL DISCOUNT,PHYSIQUE,,Bourail,165.496776,-21.567371
72,163672,filet de maquereau Odyssée moutarde conserve 169 g,épicerie salée,conserves et bocaux,conserve de poisson,conserve de poisson,IMPORT,Sec,Odyssée,0.169,kg,260,2022-03-29 00:00:00.000,0,N,A,KORAIL DUCOS,PHYSIQUE,Ducos,Nouméa,,
73,180770,bouillon de poule Jardin Bio cube x8 boîte 80 g,épicerie salée,"assaisonnement, condiment, aide culinaire","bouillon, aide culinaire","bouillon, aide culinaire",IMPORT,Sec,Jardin Bio',0.08,kg,495,2022-06-08 00:00:00.000,0,N,A,CARREFOUR MARKET N'GEA,PHYSIQUE,Faubourg blanchot,Nouméa,166.456598,-22.285624
74,180770,bouillon de poule Jardin Bio cube x8 boîte 80 g,épicerie salée,"assaisonnement, condiment, aide culinaire","bouillon, aide culinaire","bouillon, aide culinaire",IMPORT,Sec,Jardin Bio',0.08,kg,460,2022-08-28 00:00:00.000,0,N,A,LA COTE,PHYSIQUE,,Poindimié,165.333038,-20.936545
75,180770,bouillon de poule Jardin Bio cube x8 boîte 80 g,épicerie salée,"assaisonnement, condiment, aide culinaire","bouillon, aide culinaire","bouillon, aide culinaire",IMPORT,Sec,Jardin Bio',0.08,kg,495,2022-10-07 00:00:00.000,0,N,A,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),PHYSIQUE,Centre-Ville,Nouméa,166.439959,-22.269194
76,49717,sauce barbecue Eta top up 375 ml,épicerie salée,"assaisonnement, condiment, aide culinaire",condiment et sauce,sauce froide,IMPORT,Sec,,0.375,kg,285,2022-11-07 00:00:00.000,0,N,T,LE PITCHOUNET,PHYSIQUE,Vallée des Colons,Nouméa,166.455344,-22.27182
77,217048,pépites de chocolat noir Vahiné bio pur beurre de cacao sachet 100 g,épicerie sucrée,"sucre, farine, aide à la pâtisserie",aide à la pâtisserie,aide à la pâtisserie,IMPORT,Sec,Vahiné,0.1,kg,735,2023-01-25 00:00:00.000,0,N,A,CARREFOUR KENU IN,PHYSIQUE,Centre-Ville,Dumbéa,166.473018,-22.222647
78,207571,levure boulangère Vahiné levée rapide boîte 6 sachet 27.6 g,épicerie sucrée,"sucre, farine, aide à la pâtisserie",aide à la pâtisserie,aide à la pâtisserie,IMPORT,Sec,,0.028,kg,260,2023-02-08 00:00:00.000,0,N,A,CARREFOUR MARKET DUCOS,PHYSIQUE,Ducos,Nouméa,,
79,143955,café moulu Hoïa chocolat sachet 250 g,épicerie sucrée,"café, thé, boisson chaude",café,café moulu et en grain,LOCAL,Sec,,0.25,kg,1199,2015-09-21 00:00:00.000,0,N,,ARIZONA ROBINSON,PHYSIQUE,Robinson,Mont-Dore,166.512649,-22.224863
80,135733,fromage Kraft Philadelphia à tartiner pot 250 g,crémerie,fromage,fromage,fromage : à tartiner,IMPORT,Frais,Kraft,0.25,kg,435,2017-07-17 00:00:00.000,0,N,,KOUMAC DISCOUNT,PHYSIQUE,,Koumac,164.285567,-20.557718
81,156980,céréale Bjorg équilidéj chocolat paquet 500 g,épicerie sucrée,céréale petit déjeuner,céréale petit déjeuner,céréale petit déjeuner,IMPORT,Sec,Bjorg,0.5,kg,863,2018-05-14 00:00:00.000,0,N,,AUCHAN SUPERMARCHE NOUMEA ,PHYSIQUE,Motor Pool,Nouméa,166.448155,-22.291739
82,45632,biscuit gaufrette Saïda chocolat paquet 100 g,épicerie sucrée,"biscuit et gâteau, barre de céréales","biscuit fourré, nappé","biscuit fourré, nappé",IMPORT,Sec,,0.1,kg,66,2019-04-08 00:00:00.000,0,N,A,CARREFOUR EXPRESS NAKUTAKOIN,PHYSIQUE,Baie des Citrons,Dumbéa,166.415695,-22.173535
83,135733,fromage Kraft Philadelphia à tartiner pot 250 g,crémerie,fromage,fromage,fromage : à tartiner,IMPORT,Frais,Kraft,0.25,kg,360,2019-07-16 00:00:00.000,0,N,A,CARREFOUR MARKET MAGENTA,PHYSIQUE,Magenta,Nouméa,166.463054,-22.27166
84,200833,camembert Lanquetot moulé à la louche boîte 250 g,crémerie,fromage,fromage,"fromage : brie, camembert, coulommiers, crémeux",IMPORT,Frais,,0.25,kg,1179,2019-09-16 00:00:00.000,0,N,A,AUCHAN SUPERMARCHE NOUMEA ,PHYSIQUE,Motor Pool,Nouméa,166.448155,-22.291739
85,135733,fromage Kraft Philadelphia à tartiner pot 250 g,crémerie,fromage,fromage,fromage : à tartiner,IMPORT,Frais,Kraft,0.25,kg,376,2019-09-25 00:00:00.000,0,N,A,AUCHAN AUTEUIL,PHYSIQUE,Auteuil,Dumbéa,166.4796,-22.21118
86,137866,glace vanille Switi bac 2 l,surgelés,"glace, dessert glacé",glace et sorbet,glace à partager : vanille,LOCAL,Surgelés,Switti,2.0,l,861,2020-03-03 00:00:00.000,0,N,A,CARREFOUR KENU IN,PHYSIQUE,Centre-Ville,Dumbéa,166.473018,-22.222647
