,CODE_PRODUIT,NOM,SECTEUR_CONSO,SOUS_SECTEUR_CONSO,FAMILLE_PRODUIT,SOUS_FAMILLE,CATEGORIE,DEPARTEMENT,MARQUE,CONDITIONNEMENT,COND_UNITE_LIBELLE_COURT,PRIX_RELEVE,DATE_RELEVE,PROMOTION,TOP_500,TYPE_RELEVE,RAISON_SOCIALE,TYPE_ADRESSE,QUARTIER,COMMUNE,LONGITUDE,LATITUDE
592,214255,épice mélangée Ducros ras el hanout pour couscous flacon 42 g,épicerie salée,"assaisonnement, condiment, aide culinaire","herbe et épice culinaire, sel, poivre",épice culinaire,IMPORT,Sec,Ducros,0.042,kg,355,2020-11-25 00:00:00.000,0,N,A,CHAMPION DUCOS,PHYSIQUE,Ducos,Nouméa,,
593,214255,épice mélangée Ducros ras el hanout pour couscous flacon 42 g,épicerie salée,"assaisonnement, condiment, aide culinaire","herbe et épice culinaire, sel, poivre",épice culinaire,IMPORT,Sec,Ducros,0.042,kg,297,2021-02-15 00:00:00.000,0,N,A,AUCHAN SUPERMARCHE TONTOUTA,PHYSIQUE,Tontouta,Païta,166.223,-22.012
594,148572,thé noir Ahmad Tea mango magic sachet x20,épicerie sucrée,"café, thé, boisson chaude","thé, infusion",thé,IMPORT,Sec,Ahmad Tea,20.0,u,260,2021-04-14 00:00:00.000,0,N,A,CARREFOUR KENU IN,PHYSIQUE,Centre-Ville,Dumbéa,166.473018,-22.222647
595,207753,cassoulet Bouloup au porc conserve 1200 g,épicerie salée,conserves et bocaux,conserve de plat cuisiné,conserve de plat cuisiné,LOCAL,Sec,Bouloup,1.2,kg,995,2023-02-19 00:00:00.000,0,N,A,LA COTE,PHYSIQUE,,Poindimié,165.333038,-20.936545
596,211538,sel fin La Baleine de mer iodé sachet 500 g,épicerie salée,"assaisonnement, condiment, aide culinaire","herbe et épice culinaire, sel, poivre",sel,IMPORT,Sec,,0.5,kg,210,2023-07-12 00:00:00.000,0,N,A,CARREFOUR MARKET Orphelinat,PHYSIQUE,Orphelinat,Nouméa,166.445296,-22.283924
597,148094,chips Fmf ondulée chilli/garlic sachet 150 g,épicerie salée,produit apéritif,produit apéritif,"chips, tuile et tortilla",IMPORT,Sec,,0.15,kg,340,2014-07-08 00:00:00.000,0,N,,MAGENTA DISCOUNT,PHYSIQUE,6e kilomètre,Nouméa,166.468288,-22.24403
598,155195,chocolat au lait Biscochoc noisette tablette 100 g,épicerie sucrée,"chocolat, confiserie",chocolat,tablette de chocolat,LOCAL,Sec,Biscochoc,0.1,kg,325,2015-07-13 00:00:00.000,0,N,,CARREFOUR MARKET MAGENTA,PHYSIQUE,Magenta,Nouméa,166.463054,-22.27166
599,148094,chips Fmf ondulée chilli/garlic sachet 150 g,épicerie salée,produit apéritif,produit apéritif,"chips, tuile et tortilla",IMPORT,Sec,,0.15,kg,395,2016-09-26 00:00:00.000,0,N,,CARREFOUR MARKET Orphelinat,PHYSIQUE,Orphelinat,Nouméa,166.445296,-22.283924
600,156789,fromage cheddar Mainland tasty bloc 250 g,crémerie,fromage,fromage,"fromage : emmental, comté, gouda,",IMPORT,Frais,,0.25,kg,485,2017-06-26 00:00:00.000,0,N,,CARREFOUR MARKET MAGENTA,PHYSIQUE,Magenta,Nouméa,166.463054,-22.27166
601,180374,huile de pépins de raisin U bouteille 1 l,épicerie salée,"assaisonnement, condiment, aide culinaire","huile, vinaigre, vinaigrette, sauce salade",huile,IMPORT,Sec,U,1.0,l,495,2019-09-03 00:00:00.000,0,N,A,SUPER U RIVIERE SALEE,PHYSIQUE,Rivière Salée,Nouméa,166.464522,-22.23368
602,197663,blini Viv x6 barquette 300 g,"boucherie, volaille, poissonnerie","traiteur, rôtisserie",traiteur de la mer,blini,LOCAL,Frais,,0.3,kg,530,2020-12-22 00:00:00.000,0,N,A,LEADER PRICE LA FOA,PHYSIQUE,,La Foa,165.827992,-21.70991
603,196122,préparation pour gâteau U marbré paquet 224 g,épicerie sucrée,"sucre, farine, aide à la pâtisserie",aide à la pâtisserie,aide à la pâtisserie,IMPORT,Sec,U,0.224,kg,535,2021-05-18 00:00:00.000,0,N,A,SUPER U MAGECO,PHYSIQUE,Doniambo,Nouméa,166.443758,-22.259361
604,185581,glace vanille Netto enrobage chocolat au lait maxi bâtonnet x4 boîte 480 ml,surgelés,"glace, dessert glacé",glace et sorbet,glace et sorbet individuel,IMPORT,Surgelés,Netto,0.48,l,345,2021-05-18 00:00:00.000,0,N,A,DISCOUNT PLUS,PHYSIQUE,,Bourail,165.5,-21.57
605,196074,infusion Carrefour bio verveine sachet x20,épicerie sucrée,"café, thé, boisson chaude","thé, infusion",infusion,IMPORT,Sec,Carrefour,20.0,u,390,2022-06-29 00:00:00.000,0,N,A,CARREFOUR MARKET N'GEA,PHYSIQUE,Faubourg blanchot,Nouméa,166.456598,-22.285624
606,196074,infusion Carrefour bio verveine sachet x20,épicerie sucrée,"café, thé, boisson chaude","thé, infusion",infusion,IMPORT,Sec,Carrefour,20.0,u,390,2023-03-15 00:00:00.000,0,N,A,CARREFOUR MARKET N'GEA,PHYSIQUE,Faubourg blanchot,Nouméa,166.456598,-22.285624
607,46217,biscuit apéritif Ufo's paquet 50 g,épicerie salée,produit apéritif,produit apéritif,biscuit apéritif,LOCAL,Sec,Ufo's,0.05,kg,150,2017-02-20 00:00:00.000,0,N,,CARREFOUR EXPRESS NAKUTAKOIN,PHYSIQUE,Baie des Citrons,Dumbéa,166.415695,-22.173535
608,46569,surimi surgelé Emborg sous-vide 250 g,surgelés,"poisson, fruits de mer, mollusque surgelé",poisson cuisiné surgelé,poisson cuisiné surgelé,IMPORT,Surgelés,,0.25,kg,225,2017-01-23 00:00:00.000,0,N,,CARREFOUR MARKET MAGENTA,PHYSIQUE,Magenta,Nouméa,166.463054,-22.27166
609,140350,crackers tuc Lu chorizo paquet 100 g,épicerie salée,produit apéritif,produit apéritif,biscuit apéritif,IMPORT,Sec,Lu,0.1,kg,195,2017-02-20 00:00:00.000,0,,,AUCHAN SUPERMARCHE TONTOUTA,PHYSIQUE,Tontouta,Païta,166.223,-22.012
610,162268,biscuit galette St Michel grande caramel/beurre paquet 150 g,épicerie sucrée,"biscuit et gâteau, barre de céréales","biscuit sec, sablé","biscuit sec, sablé",IMPORT,Sec,St Michel,0.15,kg,475,2017-05-22 00:00:00.000,0,N,,CARREFOUR EXPRESS PAITA (ancien ARIZONA PAITA),PHYSIQUE,,Païta,166.367278,-22.129734
611,208203,thé noir Lipton bio earl grey sachet x20,épicerie sucrée,"café, thé, boisson chaude","thé, infusion",thé,IMPORT,Sec,Lipton,20.0,u,505,2020-12-22 00:00:00.000,0,N,A,DISCOUNT TRIANON,PHYSIQUE,Trianon,Nouméa,166.449044,-22.28273
612,204577,biscuit cuiller Leader Price pâtissiers paquet 300 g,épicerie sucrée,"biscuit et gâteau, barre de céréales","biscuit sec, sablé","biscuit sec, sablé",IMPORT,Sec,Leader Price,0.3,kg,450,2022-02-22 00:00:00.000,0,N,A,LEADER PRICE CONCEPTION,PHYSIQUE,La Conception,Mont-Dore,166.503788,-22.226589
